"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"pred[37]",91563.4682507822,16.5912417646913,2484.77583379359,86758.4802073713,89868.8284719472,91532.7495720312,93212.9483627242,96574.2781181527,22429.3478070841,1.00006648231051
"pred[38]",96379.558534655,16.3480183726139,2466.50690099718,91610.1649123349,94697.6449410849,96347.9992729692,98012.8760258593,101344.789830505,22763.2587776579,1.00006679002394
"pred[39]",96391.9459946283,16.3473333285067,2466.45358221294,91622.6277530414,94710.0568701653,96360.521733003,98025.1071986694,101357.074632144,22764.1824075065,1.00006679074425
"pred[40]",132187.499347742,13.5532873222676,2242.26406642972,127841.195523968,130681.868337185,132164.821559472,133675.029212654,136641.527932718,27370.5940780441,1.000065469266
"pred[41]",135226.871275436,13.2822813675267,2223.11921205536,130926.034170025,133727.894681822,135207.35960454,136706.661505982,139639.690474317,28014.3242955774,1.00006482209476
"pred[42]",138998.110345981,12.9493878354849,2201.03156021444,134735.401637482,137512.351344709,138976.952302793,140463.464831845,143368.884153225,28890.4338207378,1.00006384259985
"pred[43]",138271.749490488,13.0130336809516,2205.1192331337,134003.998332972,136780.034401445,138250.476373994,139739.824208371,142652.156837783,28714.8827114039,1.0000640471228
"residual[1]",0.639896064047034,6.16152250030673e-05,0.0123355549250832,0.61562417081235,0.631579631751907,0.639870175401808,0.648226209780745,0.664085876451789,40081.2544255942,1.00003896043958
"residual[2]",-0.22002524462164,0.00012791034688289,0.0204669437906795,-0.260094282440513,-0.233768352124848,-0.219995724507941,-0.206443255350491,-0.179781220500723,25603.2230824084,1.00002248646364
"residual[3]",0.0436304927115299,7.42007656049519e-05,0.0138539732085164,0.0165214984139046,0.0342666008923067,0.0436906648542568,0.0530360546419297,0.071147308070593,34860.3637278538,1.00002104820588
"residual[4]",0.49440105256752,7.10336351420292e-05,0.0134964908125718,0.467971626637401,0.485307188342478,0.494432114336713,0.503555834208097,0.521177310104398,36100.535685156,1.00002211540884
"residual[5]",-0.000364199160608627,0.000133122840731349,0.0211466389634697,-0.0418584609462558,-0.0145199803995628,-0.000302866746015873,0.0136859975212542,0.0411560790980279,25233.5031914329,1.00002306706221
"residual[6]",-0.457659497513968,0.000108087799310145,0.0179299468322992,-0.492597854929941,-0.469711992768316,-0.457636260273098,-0.445708558321745,-0.422442089430004,27517.2262255572,1.00002041898558
"residual[7]",-0.143553721611453,6.4252940794211e-05,0.0126503436782493,-0.168351872255347,-0.152059208842511,-0.143588384182097,-0.134996941577563,-0.118596527138868,38763.1114041317,1.00004757603653
"residual[8]",0.128960014787286,7.87672499134705e-05,0.0141765132316498,0.101120354455919,0.119436722980595,0.128943325477399,0.138485187411431,0.156791925396383,32392.7254178231,1.00005924330738
"residual[9]",-0.17319162718765,6.4306298937095e-05,0.0126569174791337,-0.198002242339412,-0.181695406874422,-0.173222437217056,-0.164626777663262,-0.148221163652065,38739.0411478643,1.00004767780306
"residual[10]",-0.177530228240417,8.26080692146418e-05,0.0146072686763912,-0.206141126236674,-0.18732342546749,-0.177555772013353,-0.167723484645423,-0.148923384629234,31267.4951934558,1.00006078863949
"residual[11]",0.348446749329075,0.000104209008430912,0.0171647154459394,0.314753751641944,0.336985225693936,0.348449356528192,0.359895867495073,0.382188108984366,27130.8055830291,1.00006511057131
"residual[12]",0.12188475717513,6.17806105328805e-05,0.0123536259889483,0.0976170054857066,0.113531722229429,0.121873747626104,0.130245150375835,0.146102537196422,39983.8404607521,1.00004019720927
"residual[13]",0.0848569353895722,6.25178794816524e-05,0.0124681370886597,0.0604696771972594,0.0763959759151094,0.0848713690665406,0.0932665624787452,0.10913058927508,39773.5778246626,1.00003058503729
"residual[14]",0.270523403214142,6.42674148695203e-05,0.0126986278700423,0.245654705272737,0.261907178730984,0.270495330473747,0.27909954110656,0.295431846819361,39041.9886714292,1.00002716412855
"residual[15]",-0.141182736275241,8.67405083448782e-05,0.015312938354474,-0.171138686570449,-0.151549587103956,-0.141188233088351,-0.130891636605158,-0.110980151985565,31165.4313601108,1.00001943046403
"residual[16]",0.2530519452837,6.35781408707446e-05,0.0126080819699078,0.228366850312415,0.244504134092939,0.253042738810414,0.261587567378334,0.277775502386067,39326.2375981279,1.00002826563062
"residual[17]",0.146522192966727,8.28369019865514e-05,0.0148515987430768,0.117491288284459,0.13641225078982,0.146527537097834,0.156516004979347,0.175877276257676,32143.9110320826,1.00001963350257
